url,title,imageurl,category,newname,time
https://laodong.vn/thoi-su/viet-nam-ho-tro-philippines-200-tan-gao-khac-phuc-hau-qua-bao-rai-1029861.ldo,Việt Nam hỗ trợ Philippines 200 tấn gạo khắc phục hậu quả bão Rai,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029861/Philippines.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 18:36 (GMT+7)"
https://laodong.vn/thoi-su/tam-nhin-2045-ha-noi-tro-thanh-thanh-pho-ket-noi-toan-cau-muc-song-cao-1029788.ldo,"Tầm nhìn 2045, Hà Nội trở thành thành phố kết nối toàn cầu, mức sống cao",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029788/277594692_8220401887.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 17:52 (GMT+7)"
https://laodong.vn/thoi-su/thu-truong-pham-quang-hieu-dam-nhan-chuc-pho-chu-tich-uy-ban-song-me-cong-1029819.ldo,Thứ trưởng Phạm Quang Hiệu đảm nhận chức Phó Chủ tịch Ủy ban sông Mê Công,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029819/Ongphamquanghieu-164.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 17:31 (GMT+7)"
https://laodong.vn/thoi-su/tong-bi-thu-chu-tri-hop-bo-chinh-tri-ve-phat-trien-ha-noi-1029734.ldo,Tổng Bí thư chủ trì họp Bộ Chính trị về phát triển Hà Nội,https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2022/4/1/1029734/Tong-Bi-Thu-Nguyen-P-03.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 15:02 (GMT+7)"
https://laodong.vn/thoi-su/khan-truong-hoan-thien-huong-dan-ho-tro-lai-suat-cho-vay-voi-doanh-nghiep-1029643.ldo,Khẩn trương hoàn thiện hướng dẫn hỗ trợ lãi suất cho vay với doanh nghiệp,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029643/San-Xuat-150-Trieu-K.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 11:07 (GMT+7)"
https://laodong.vn/thoi-su/tu-tuong-ho-chi-minh-nen-tang-dinh-huong-xay-dung-luc-luong-canh-sat-nhan-dan-trong-sach-vung-manh-1029525.ldo,"Tư tưởng Hồ Chí Minh - Nền tảng định hướng xây dựng lực lượng cảnh sát nhân dân trong sạch, vững mạnh",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029525/2-2.jpg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 08:50 (GMT+7)"
https://laodong.vn/thoi-su/so-hoa-kiem-soat-tai-san-thu-nhap-tai-san-bat-minh-tham-nhung-se-bi-lo-1029026.ldo,"Số hoá kiểm soát tài sản, thu nhập: Tài sản bất minh, tham nhũng sẽ bị lộ",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/30/1029026/1.Lkpgs.Tu89km.jpg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 08:02 (GMT+7)"
https://laodong.vn/thoi-su/hang-loat-chinh-sach-moi-dang-chu-y-co-hieu-luc-tu-thang-42022-1029515.ldo,Hàng loạt chính sách mới đáng chú ý có hiệu lực từ tháng 4.2022,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029515/San-Xuat-150-Trieu-K.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 06:23 (GMT+7)"
https://laodong.vn/thoi-su/thanh-tra-viec-bao-ve-bi-mat-nha-nuoc-va-an-ninh-mang-tai-bo-noi-vu-1029481.ldo,Thanh tra việc bảo vệ bí mật nhà nước và an ninh mạng tại Bộ Nội vụ,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029481/Atuanctt__2_-15_53_2.jpg,Thời sự,laodong.vn,"Thứ năm, 31/03/2022 19:11 (GMT+7)"
https://laodong.vn/doi-ngoai/lien-hop-quoc-danh-gia-cao-no-luc-cua-viet-nam-bao-ve-quyen-con-nguoi-1029480.ldo,Liên Hợp Quốc đánh giá cao nỗ lực của Việt Nam bảo vệ quyền con người,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029480/LHQ.jpeg,Thời sự,laodong.vn,"Thứ năm, 31/03/2022 19:07 (GMT+7)"
https://laodong.vn/thoi-su/vi-pham-cua-chu-tich-ha-noi-chu-ngoc-anh-bo-truong-y-te-nguyen-thanh-long-trong-vu-viet-a-den-muc-phai-xem-xet-ky-luat-1029459.ldo,"Vi phạm của Chủ tịch Hà Nội Chu Ngọc Anh, Bộ trưởng Y tế Nguyễn Thanh Long trong vụ Việt Á đến mức phải xem xét, kỷ luật",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029459/Hop-Uy-Ban-Ky-13-21.jpeg,Thời sự,laodong.vn,"Thứ năm, 31/03/2022 18:25 (GMT+7)"
https://laodong.vn/doi-ngoai/tong-bi-thu-nguyen-phu-trong-dien-dam-voi-thu-tuong-duc-olaf-scholz-1029429.ldo,Tổng Bí thư Nguyễn Phú Trọng điện đàm với Thủ tướng Đức Olaf Scholz,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029429/TBT2.jpeg,Thời sự,laodong.vn,"Thứ năm, 31/03/2022 18:09 (GMT+7)"
https://laodong.vn/thoi-su/xu-ly-nghiem-minh-nhung-vi-pham-co-tinh-chat-thach-thuc-du-luan-xa-hoi-1029404.ldo,Xử lý nghiêm minh những vi phạm có tính chất thách thức dư luận xã hội,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029404/Vo-Van-Thuong.jpeg,Thời sự,laodong.vn,"Thứ năm, 31/03/2022 17:05 (GMT+7)"
url,title,imageurl,category,newname,time
https://laodong.vn/thoi-su/viet-nam-ho-tro-philippines-200-tan-gao-khac-phuc-hau-qua-bao-rai-1029861.ldo,Việt Nam hỗ trợ Philippines 200 tấn gạo khắc phục hậu quả bão Rai,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029861/Philippines.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 18:36 (GMT+7)"
https://laodong.vn/thoi-su/tam-nhin-2045-ha-noi-tro-thanh-thanh-pho-ket-noi-toan-cau-muc-song-cao-1029788.ldo,"Tầm nhìn 2045, Hà Nội trở thành thành phố kết nối toàn cầu, mức sống cao",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029788/277594692_8220401887.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 17:52 (GMT+7)"
https://laodong.vn/thoi-su/thu-truong-pham-quang-hieu-dam-nhan-chuc-pho-chu-tich-uy-ban-song-me-cong-1029819.ldo,Thứ trưởng Phạm Quang Hiệu đảm nhận chức Phó Chủ tịch Ủy ban sông Mê Công,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029819/Ongphamquanghieu-164.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 17:31 (GMT+7)"
https://laodong.vn/thoi-su/tong-bi-thu-chu-tri-hop-bo-chinh-tri-ve-phat-trien-ha-noi-1029734.ldo,Tổng Bí thư chủ trì họp Bộ Chính trị về phát triển Hà Nội,https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2022/4/1/1029734/Tong-Bi-Thu-Nguyen-P-03.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 15:02 (GMT+7)"
https://laodong.vn/thoi-su/khan-truong-hoan-thien-huong-dan-ho-tro-lai-suat-cho-vay-voi-doanh-nghiep-1029643.ldo,Khẩn trương hoàn thiện hướng dẫn hỗ trợ lãi suất cho vay với doanh nghiệp,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/4/1/1029643/San-Xuat-150-Trieu-K.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 11:07 (GMT+7)"
https://laodong.vn/thoi-su/tu-tuong-ho-chi-minh-nen-tang-dinh-huong-xay-dung-luc-luong-canh-sat-nhan-dan-trong-sach-vung-manh-1029525.ldo,"Tư tưởng Hồ Chí Minh - Nền tảng định hướng xây dựng lực lượng cảnh sát nhân dân trong sạch, vững mạnh",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029525/2-2.jpg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 08:50 (GMT+7)"
https://laodong.vn/thoi-su/so-hoa-kiem-soat-tai-san-thu-nhap-tai-san-bat-minh-tham-nhung-se-bi-lo-1029026.ldo,"Số hoá kiểm soát tài sản, thu nhập: Tài sản bất minh, tham nhũng sẽ bị lộ",https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/30/1029026/1.Lkpgs.Tu89km.jpg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 08:02 (GMT+7)"
https://laodong.vn/thoi-su/hang-loat-chinh-sach-moi-dang-chu-y-co-hieu-luc-tu-thang-42022-1029515.ldo,Hàng loạt chính sách mới đáng chú ý có hiệu lực từ tháng 4.2022,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/3/31/1029515/San-Xuat-150-Trieu-K.jpeg,Thời sự,laodong.vn,"Thứ sáu, 01/04/2022 06:23 (GMT+7)"
